id	top_neigh_count	top2_neigh_count
GBC726705	1	1
GBC727108	1	1
GBC727542	1	1
GBC728036	34	3
GBC728987	11	3
GBC728988	5659	1
GBC729229	54	42
GBC729255	43	1
GBC729264	43	11
GBC729271	92	43
GBC729320	54	20
GBC729340	5659	2
GBC729341	5659	2
GBC729342	92	54
GBC729354	92	20
GBC729381	92	34
GBC730790	92	39
GBC730885	1	1
GBC734951	42	29
GBC734977	92	29
GBC736609	10	5
GBC737066	39	29
GBC743872	1147	1
GBC745963	27	10
GBC746659	2	1
GBC747819	1147	1
GBC747820	1	1
GBC747999	41	6
GBC748633	6131	1
GBC748636	45	41
GBC748876	41	37
GBC749317	10	7
GBC749431	8	1
GBC749433	8	2
GBC749505	1147	1
GBC749524	14	10
GBC749526	1147	1
GBC749529	1147	1
GBC749599	1147	1
GBC751115	7	6
GBC751146	576	1
GBC752184	6	1
GBC754739	5026	58
GBC754761	1303	58
